"submitted_item" "validated_id" "current_symbol"
"396" "FBgn0041775" "FBgn0041775" "tral"
"397" "FBgn0042119" "FBgn0042119" "Cpr65Au"
"398" "FBgn0042201" "FBgn0042201" "Nplp3"
"399" "FBgn0043575" "FBgn0043575" "PGRP-SC2"
"400" "FBgn0043578" "FBgn0043578" "PGRP-SB1"
"401" "FBgn0043806" "FBgn0043806" "CG32032"
"402" "FBgn0044011" "FBgn0044011" "Spn43Ad"
"403" "FBgn0050022" "FBgn0050022" "CG30022"
"404" "FBgn0050026" "FBgn0050026" "CG30026"
"405" "FBgn0050035" "FBgn0050035" "Tret1-1"
"406" "FBgn0050042" "FBgn0050042" "Cpr49Ab"
"407" "FBgn0050091" "FBgn0050091" "CG30091"
"408" "FBgn0050098" "FBgn0050098" "CG30098"
"409" "FBgn0050104" "FBgn0050104" "NT5E-2"
"410" "FBgn0050106" "FBgn0050106" "CCHa1-R"
"411" "FBgn0050151" "FBgn0050151" "CG30151"
"412" "FBgn0050154" "FBgn0050154" "CG30154"
"413" "FBgn0050197" "FBgn0050197" "CG30197"
"414" "FBgn0050359" "FBgn0050359" "Mal-A5"
"415" "FBgn0050360" "FBgn0050360" "Mal-A6"
"416" "FBgn0050438" "FBgn0050438" "Ugt50B3"
"417" "FBgn0051028" "FBgn0051028" "Rsod"
"418" "FBgn0051233" "FBgn0051233" "CG31233"
"419" "FBgn0051313" "FBgn0051313" "CG31313"
"420" "FBgn0051326" "FBgn0051326" "CG31326"
"421" "FBgn0051704" "FBgn0051704" "CG31704"
"422" "FBgn0051769" "FBgn0051769" "CG31769"
"423" "FBgn0051793" "FBgn0051793" "CG31793"
"424" "FBgn0051997" "FBgn0051997" "CG31997"
"425" "FBgn0052023" "FBgn0052023" "CG32023"
"426" "FBgn0052195" "FBgn0052195" "CG32195"
"427" "FBgn0052205" "FBgn0052205" "hpRNA:CR32205"
"428" "FBgn0052311" "FBgn0052311" "zormin"
"429" "FBgn0052645" "FBgn0052645" "CG32645"
"430" "FBgn0052672" "FBgn0052672" "Atg8a"
"431" "FBgn0052774" "FBgn0052774" "Muc4B"
"432" "FBgn0053099" "FBgn0053099" "CG33099"
"433" "FBgn0053192" "FBgn0053192" "MtnD"
"434" "FBgn0053258" "FBgn0053258" "CG33258"
"435" "FBgn0053289" "FBgn0053289" "ppk5"
"436" "FBgn0053329" "FBgn0053329" "Sp212"
"437" "FBgn0053469" "FBgn0053469" "CG33469"
"438" "FBgn0053470" "FBgn0053470" "BaraA1"
"439" "FBgn0053509" "FBgn0053509" "CG33509"
"440" "FBgn0054003" "FBgn0054003" "NimB3"
"441" "FBgn0054034" "FBgn0054034" "CG34034"
"442" "FBgn0054040" "FBgn0054040" "CG34040"
"443" "FBgn0054043" "FBgn0054043" "CG34043"
"444" "FBgn0054054" "FBgn0054054" "CG34054"
"445" "FBgn0060296" "FBgn0060296" "pain"
"446" "FBgn0063493" "FBgn0063493" "GstE7"
"447" "FBgn0066293" "FBgn0066293" "CheB42b"
"448" "FBgn0067905" "FBgn0067905" "Dso2"
"449" "FBgn0083972" "FBgn0083972" "CG34136"
"450" "FBgn0085192" "FBgn0085192" "CG34163"
"451" "FBgn0085241" "FBgn0085241" "CG34212"
"452" "FBgn0085244" "FBgn0085244" "CG34215"
"453" "FBgn0085313" "FBgn0085313" "CG34284"
"454" "FBgn0085354" "FBgn0085354" "CG34325"
"455" "FBgn0085358" "FBgn0085358" "Diedel3"
"456" "FBgn0085427" "FBgn0085427" "CG34398"
"457" "FBgn0086708" "FBgn0086708" "stv"
"458" "FBgn0250835" "FBgn0250835" "CG15394"
"459" "FBgn0250871" "FBgn0250871" "pot"
"460" "FBgn0259224" "FBgn0259224" "CG42324"
"461" "FBgn0259697" "FBgn0287185" "nvd"
"462" "FBgn0259821" "FBgn0259821" "CG42402"
"463" "FBgn0259878" "FBgn0259878" "Fs"
"464" "FBgn0259977" "FBgn0259977" "Tdc1"
"465" "FBgn0260004" "FBgn0260004" "Snmp1"
"466" "FBgn0260474" "FBgn0260474" "CG30002"
"467" "FBgn0260484" "FBgn0260484" "HIP"
