,baseMean,log2FoldChange,lfcSE,pvalue,padj
FBgn0001092,23161.30859,-0.034623597,0.055072088,0.36163962,0.699244256
FBgn0001098,4634.336649,-0.034049728,0.067389023,0.385594577,0.715171628
FBgn0001099,34.87350314,-0.009178399,0.072773837,0.633764389,0.854320407
FBgn0001104,3818.660665,-0.013512137,0.057615788,0.717180174,0.892997419
FBgn0001105,5960.001113,-0.011916489,0.040517126,0.727722676,0.896679898
FBgn0001108,3789.767405,-0.119408806,0.050668004,0.00430975,0.071934993
FBgn0001112,284.5405755,0.870040686,0.254621787,2.1681E-05,0.001722989
FBgn0001114,3876.355454,0.001918695,0.070758705,0.94463524,0.982193884
FBgn0001120,2727.1048,-0.041771544,0.072779839,0.285240933,0.635776826
FBgn0001122,1881.023015,0.032898116,0.058743675,0.430767432,0.745529398
FBgn0001123,546.0231397,0.169646712,0.163113568,0.014404347,0.158790773
FBgn0001124,4220.873375,0.082665536,0.059338225,0.057436622,0.323340397
FBgn0001125,5943.975711,-0.030996847,0.049686168,0.411711891,0.734023091
FBgn0001128,5848.2435,0.023640252,0.061623064,0.584716845,0.830552179
FBgn0001133,705.1726213,-0.039429564,0.060478802,0.323739973,0.673472744
FBgn0001134,8.126649886,0.004331752,0.074084024,0.701199915,0.885984563
FBgn0001137,364.7781316,0.099198334,0.073597978,0.042263638,0.281324701
FBgn0001138,11.6757378,-0.025779092,0.079699665,0.097345644,0.401100916
FBgn0001139,4094.11693,-0.11672785,0.075616084,0.02205215,0.202593586
FBgn0001142,3904.441961,0.043078102,0.071119844,0.265025901,0.617632213
FBgn0001145,4132.187368,0.099740452,0.14750732,0.033428661,0.252827988
FBgn0001147,1.773952498,0.008774326,0.075378375,0.087818269,NA
FBgn0001148,0.570215038,-0.000781552,0.074712013,0.800023693,NA
FBgn0001149,13419.94656,0.018265012,0.04253867,0.607790607,0.84121152
FBgn0001150,8.582281545,0.00897424,0.074278751,0.509007141,0.794484074
FBgn0001168,871.6233258,0.217284805,0.161025955,0.008578055,0.116639627
FBgn0001169,2885.039118,-0.046756479,0.059282577,0.246123454,0.598668035
FBgn0001170,5.759042555,-0.013459316,0.075780107,0.210864767,0.564905385
FBgn0001174,0.183535118,-0.000284288,0.074754939,0.895888925,NA
FBgn0001179,834.4575859,-0.030689443,0.058691157,0.379257475,0.710838939
FBgn0001180,1662.852536,-0.027942377,0.069965057,0.4111254,0.733708127
FBgn0001185,577.5161857,0.02145521,0.060792567,0.554320028,0.81679175
FBgn0001186,4313.09874,0.000547939,0.04450891,0.992588991,0.997421309
FBgn0001187,975.7730686,-0.035729891,0.07836287,0.228161039,0.581330385
FBgn0001189,1134.028613,0.049515374,0.049529472,0.20012417,0.552963748
FBgn0001197,6498.210413,-0.050477415,0.071163246,0.244282035,0.596572519
FBgn0001202,1069.790555,0.170819721,0.053564251,0.00020958,0.009072442
FBgn0001206,1498.546764,-0.001807853,0.06647557,0.951114821,0.985638549
FBgn0001208,2919.134269,0.043465739,0.084800066,0.150769062,0.487709519
FBgn0001215,7320.549268,0.043619119,0.063172548,0.281560193,0.632876126
FBgn0001216,414.499138,0.275400792,0.156398373,0.003321907,0.060573601
FBgn0001217,19.98665599,0.656968321,0.385935556,0.002301237,0.048145139
FBgn0001218,21559.88198,0.152442568,0.076029584,0.010003122,0.127513887
FBgn0001220,6864.709893,0.093653075,0.042079122,0.00813737,0.113136386
FBgn0001222,3719.414824,-0.006706682,0.062387523,0.861969533,0.954277232
FBgn0001224,296.5028817,0.031956059,0.076729304,0.2676602,0.620172643
FBgn0001225,12021.92082,-0.137595016,0.187135022,0.023027732,0.20555098
FBgn0001226,6943.466208,-0.095424911,0.113880352,0.053037097,0.314297189
