Gene ID,LogFC,P-value,FDR,Day 1 Rep 1,Day 1 Rep 2,Day 1 Rep 3,Day 60 Rep 1,Day 60 Rep 2,Day 60 Rep 3
FBgn0036995,-1.429841539,1.98760409491505E-05,3.05742816192954E-05,10.03233175,6.811321626,6.308848581,2.222815163,3.309908614,2.950741595
FBgn0036996,2.612131565,1.76580540645422E-11,4.24279176910759E-11,6.243029975,3.420932835,8.077996595,51.5522132,19.90742138,35.17283981
FBgn0036998,1.668205523,4.05372035172824E-16,1.37558905414382E-15,15.37462606,17.53228078,16.15599319,45.07612672,60.41782463,48.60461555
FBgn0036999,1.049417388,5.03798175955613E-07,8.65506393377997E-07,17.3003368,15.69963819,14.85416729,31.58962318,35.61749487,30.47525919
FBgn0037001,-1.772040844,8.86666694520939E-23,4.9996080001979E-22,876.9438225,968.2461684,1131.320085,271.5467947,274.3386575,314.6670836
FBgn0037007,-0.662372746,0.000400182,0.000558747,206.9517847,215.8852971,233.2604967,139.9091159,109.8505902,158.2305673
FBgn0037008,0.933291062,9.45575712668298E-05,0.000137994,11.05730682,11.1791198,14.15318412,22.09991229,23.24131484,23.32266156
FBgn0037010,0.388753607,0.019368754,0.023707013,84.420674,88.27228475,93.23076236,117.937443,121.0994826,104.4798584
FBgn0037011,0.875085546,8.53393457057766E-05,0.000124913,16.21324203,19.91471614,22.09766011,32.61553787,32.35555595,40.41335688
FBgn0037012,-0.67231032,0.014076202,0.017433213,19.28816724,21.25865404,22.23118071,14.64065756,8.778453282,15.24943256
FBgn0037015,-3.235628045,1.40983692228425E-16,4.93520343827618E-16,11.58532428,10.35443063,11.31587126,0.683943127,0.983378646,1.817656822
FBgn0037017,1.364587807,2.03917991688647E-07,3.60475662234963E-07,6.95740654,8.033083353,6.108567673,18.10311964,20.60298188,14.8481317
FBgn0037018,1.310770549,5.02627429907719E-10,1.08389666845289E-09,18.41849142,16.37160714,19.62752892,47.51267411,47.2981144,38.43045853
FBgn0037019,1.754764979,3.30456675148635E-16,1.12797647964389E-15,11.15048637,13.07285048,14.48698563,43.43038857,45.09150866,40.46056874
FBgn0037020,1.556529072,2.08425654054373E-18,8.38503838289431E-18,31.64998779,30.8494836,26.03651795,82.26553425,89.34354774,84.91054012
FBgn0037021,2.442125417,4.80907812435412E-34,5.91233722347065E-33,22.36309245,20.64777318,26.0031378,133.4971491,133.8594201,103.0871083
FBgn0037022,1.813915344,6.40578588618161E-23,3.64912262122115E-22,21.43129693,21.22811,20.3952724,73.22466104,78.71826139,66.68676004
FBgn0037023,-2.097727576,1.70461642509908E-10,3.80065666379645E-10,13.23149637,12.85904217,7.410393571,2.308308054,2.758257179,2.620258536
